17:13:43.710,19-09-03,0000005271,USBWrite,Datagram write error: 1!
17:13:43.710,19-09-03,0000005271,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:13:58.710,19-09-03,0000006771,USBWrite,Datagram write error: 1!
17:13:58.710,19-09-03,0000006771,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:14:13.710,19-09-03,0000008271,USBWrite,Datagram write error: 1!
17:14:13.710,19-09-03,0000008271,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:14:29.710,19-09-03,0000009771,USBWrite,Datagram write error: 1!
17:14:29.710,19-09-03,0000009771,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:14:44.710,19-09-03,0000011271,USBWrite,Datagram write error: 1!
17:14:44.710,19-09-03,0000011271,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:15:00.710,19-09-03,0000012771,USBWrite,Datagram write error: 1!
17:15:00.710,19-09-03,0000012771,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:15:15.710,19-09-03,0000014271,USBWrite,Datagram write error: 1!
17:15:15.710,19-09-03,0000014271,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:15:30.710,19-09-03,0000015771,USBWrite,Datagram write error: 1!
17:15:30.710,19-09-03,0000015771,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:15:46.710,19-09-03,0000017271,USBWrite,Datagram write error: 1!
17:15:46.710,19-09-03,0000017271,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:16:01.710,19-09-03,0000018771,USBWrite,Datagram write error: 1!
17:16:01.710,19-09-03,0000018771,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:16:02.240,19-09-03,0000018824,  jUSB01,TI_CN_TR_Reset: Transmit Pipe reset!
17:16:02.250,19-09-03,0000018825,sm_Conne,TI_CN_TR_Reset: Transmit Pipe reset!
17:16:09.610,19-09-03,0000019561,USBWrite,Datagram write error: 1!
17:16:09.610,19-09-03,0000019561,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:16:25.610,19-09-03,0000021061,USBWrite,Datagram write error: 1!
17:16:25.610,19-09-03,0000021061,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:16:40.610,19-09-03,0000022561,USBWrite,Datagram write error: 1!
17:16:40.610,19-09-03,0000022561,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:16:55.610,19-09-03,0000024061,USBWrite,Datagram write error: 1!
17:16:55.610,19-09-03,0000024061,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:17:11.610,19-09-03,0000025561,USBWrite,Datagram write error: 1!
17:17:11.610,19-09-03,0000025561,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:17:26.610,19-09-03,0000027061,USBWrite,Datagram write error: 1!
17:17:26.610,19-09-03,0000027061,USBWrite,usbWriteTaskEntry: write failed(0!=77).
17:17:41.610,19-09-03,0000028561,USBWrite,Datagram write error: 1!
